rollNo,name,year,gender,deptNo,advisor
19085012,Mariam Muir,2019,Female,8,65
21065015,Maribeth Strete,2021,Female,6,24
20035009,Markus Keoghane,2020,Male,3,115
21095013,Mart Dominy,2021,Male,9,79
21035010,Marwin Szwandt,2021,Male,3,94
19085013,Mathias Ogles,2019,Male,8,91
19095014,Mela Plott,2019,Female,9,51
19035011,Molli Fransson,2019,Female,3,46
21055011,Morrie Cordell,2021,Male,5,3
19035012,Muffin McGorman,2019,Female,3,19
20015010,Nikola Fairebrother,2020,Male,1,104
20095015,Noelle Malins,2020,Female,9,17
19025014,Nolan Papa,2019,Male,2,109
19095016,North Kristof,2019,Male,9,106
20085014,Paquito Rochelle,2020,Male,8,91
21015011,Prescott Howse,2021,Male,1,14
20065016,Price Ivie,2020,Male,6,92
21035013,Rachele Lodeke,2021,Female,3,86
19045017,Reece Vigers,2019,Male,4,119
21065017,Rhea Minter,2021,Female,6,80
20085015,Rudiger Hubbold,2020,Male,8,124
21025015,Sandy Frearson,2021,Male,2,1
19055012,Sib Baudet,2019,Female,5,97
20065018,Sigismond Bolles,2020,Male,6,85
20025016,Skell Pile,2020,Male,2,1
21095017,Steffi Ridgedell,2021,Female,9,10
20055013,Susy Doyley,2020,Female,5,33
20035014,Tallou Rushsorth,2020,Female,3,60
20095018,Tani Marney,2020,Female,9,17
21085016,Tansy Wille,2021,Female,8,29
20085017,Ted Lalonde,2020,Male,8,73
20075013,Tonie Vescovo,2020,Female,7,66
19045018,Travis Shieber,2019,Male,4,41
21095019,Tremayne Autie,2021,Male,9,77
19035015,Trever Nelligan,2019,Male,3,13
21065019,Tristan MacNab,2021,Male,6,118
21095020,Upton Spaven,2021,Male,9,79
19055014,Ursulina Middlemass,2019,Female,5,116
20095021,Valeda Pockey,2020,Female,9,142
20065020,Valeria Romme,2020,Female,6,122
21045019,Vivianne Spears,2021,Female,4,12
20055015,Wang Gumly,2020,Male,5,116
20025017,Waverley Cannicott,2020,Male,2,34
19085018,Yorke Maudson,2019,Male,8,124
20025018,Zarah Durek,2020,Female,2,140
